submission name,revised name,hits,number of common atoms,number of atoms,smiles,silane smiles,dummy smiles,thio smiles,issue
SAL-INS-1c7-8,SAL-INS-1c7-8_ACR2,"x0734,x1374,x1385,x1392,x1458",19,26,C=CC(=O)N(c1ccc(F)cc1Cc1ccccc1)C1C=CS(=O)(=O)C1,O=C(CC[SiH3])N(c1ccc(F)cc1Cc1ccccc1)C1C=CS(=O)(=O)C1,*CCC(=O)N(c1ccc(F)cc1Cc1ccccc1)C1C=CS(=O)(=O)C1,O=C(CC[S-])N(c1ccc(F)cc1Cc1ccccc1)C1C=CS(=O)(=O)C1,
SAL-INS-1c7-9,SAL-INS-1c7-9_ACR2,"x0734,x1374,x1385,x1392,x1458",18,25,C=CC(=O)N(c1ccc(C)cc1Cc1c[nH]cn1)C1C=CS(=O)(=O)C1,Cc1ccc(N(C(=O)CC[SiH3])C2C=CS(=O)(=O)C2)c(Cc2c[nH]cn2)c1,*CCC(=O)N(c1ccc(C)cc1Cc1c[nH]cn1)C1C=CS(=O)(=O)C1,Cc1ccc(N(C(=O)CC[S-])C2C=CS(=O)(=O)C2)c(Cc2c[nH]cn2)c1,
SAL-INS-1ea-1,SAL-INS-1ea-1_ACR2,"x0759,x1308,x1358,x1402",19,28,C=CC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)C[C@@H]1Oc1ccc(F)cc1,O=C(CC[SiH3])N1CCN(S(=O)(=O)c2ccc(Cl)cc2)C[C@@H]1Oc1ccc(F)cc1,*CCC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)C[C@@H]1Oc1ccc(F)cc1,O=C(CC[S-])N1CCN(S(=O)(=O)c2ccc(Cl)cc2)C[C@@H]1Oc1ccc(F)cc1,
SAL-INS-1ea-2,SAL-INS-1ea-2_ACR2,"x0759,x1308,x1358,x1402",17,27,C=CC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)s2)C[C@@H]1Oc1ccc(F)cc1,O=C(CC[SiH3])N1CCN(S(=O)(=O)c2ccc(Cl)s2)C[C@@H]1Oc1ccc(F)cc1,*CCC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)s2)C[C@@H]1Oc1ccc(F)cc1,O=C(CC[S-])N1CCN(S(=O)(=O)c2ccc(Cl)s2)C[C@@H]1Oc1ccc(F)cc1,
SAL-INS-1ea-3,SAL-INS-1ea-3_ACR2,"x0759,x1308,x1358,x1402",20,28,C=CC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)s2)[C@@H](CCc2ccccc2O)C1,O=C(CC[SiH3])N1CCN(S(=O)(=O)c2ccc(Cl)s2)[C@@H](CCc2ccccc2O)C1,*CCC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)s2)[C@@H](CCc2ccccc2O)C1,O=C(CC[S-])N1CCN(S(=O)(=O)c2ccc(Cl)s2)[C@@H](CCc2ccccc2O)C1,
SAL-INS-1ea-4,SAL-INS-1ea-4_ACR2,"x0759,x1308,x1358,x1402",22,29,C=CC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)[C@@H](CCc2ccccc2O)C1,O=C(CC[SiH3])N1CCN(S(=O)(=O)c2ccc(Cl)cc2)[C@@H](CCc2ccccc2O)C1,*CCC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)[C@@H](CCc2ccccc2O)C1,O=C(CC[S-])N1CCN(S(=O)(=O)c2ccc(Cl)cc2)[C@@H](CCc2ccccc2O)C1,
SEA-TRI-2c7-1,SEA-TRI-2c7-1_ACR2,,,,C=CC(=O)N1CCN([C@@H](c2cccc(Cl)c2)c2ccc(C)s2)CC1,,,,novel name?
SEA-TRI-388-1,SEA-TRI-388-1_ACR2,,,,C=CC(=O)N1Cc2c(OCCN3CCOCC3)cccc2[C@H](c2cocc2Cl)C1,,,,novel name?
SEA-TRI-67e-1,SEA-TRI-67e-1_ACR2,,,,C=CC(=O)N1CCN(Cc2cc(Cl)cc3cccc(OCCN4CCOCC4)c23)CC1,,,,novel name?
SEA-TRI-822-1,SEA-TRI-822-1_ACR2,,,,C=CC(=O)N1CCN([C@@H](c2cccc(Cl)c2)c2ccc(Cl)s2)CC1,,,,novel name?
SEA-TRI-825-1,SEA-TRI-825-1_ACR2,,,,C=CC(=O)N1CCN(Cc2ccc(Cl)s2)C[C@@H]1Cc1ccc(O)cc1,,,,novel name?
SEA-TRI-f74-1,SEA-TRI-f74-1_ACR2,,,,C=CC(=O)N1CCCC(c2nc3c(CCS(N)(=O)=O)cccc3s2)C1,,,,novel name?
SEA-TRI-fac-1,SEA-TRI-fac-1_ACR2,,,,C=CC(=O)N1Cc2c(OCCN3CCOCC3)cccc2[C@H](c2cccc(Cl)c2)C1,,,,novel name?
SEL-UNI-49a-1,SEL-UNI-49a-1_ACR2,,,,C=CC(=O)N(CC1CCN(c2ccc(C(=O)Nc3cncc(N)c3)nc2)N(C(=O)CCl)CO1)C1C=CS(=O)(=O)C1,,,,novel name?
SEL-UNI-49a-2,SEL-UNI-49a-2_ACR2,,,,C=CC(=O)N1C=CC(N(C(=O)CCl)C2C=CS(=O)(=O)C2)=CC1,,,,novel name?
SEL-UNI-49a-3,SEL-UNI-49a-3_ACR2,,,,C=CC(=O)N(C1=CC(C(CC(=O)Nc2cncc(N)c2C)c2ccsc2)N(C(=O)CCl)C=C1)C1C=CS(=O)(=O)C1,,,,novel name?
SEL-UNI-49a-4,SEL-UNI-49a-4_ACR2,,,,C#Cc1ncnc2[nH]c(C3CCCN(C(=O)C=C)C3)nc12,,,,novel name?
SEL-UNI-49a-5,SEL-UNI-49a-5_ACR2,,,,C#Cc1ncnc2c1N=C(C1CN(C(=O)C=C)CCN1[S](=O)=O)[N]2,,,,novel name?
SEL-UNI-49a-6,SEL-UNI-49a-6_ACR2,,,,C#Cc1ncnc2c1nc(C1CCCN(C(=O)C=C)C1)n2CC(=O)C(Cc1ccc(O)cc1)NC(C)=O,,,,novel name?
SEL-UNI-49a-7,SEL-UNI-49a-7_ACR2,,,,C#Cc1ncnc2c1nc(C1CCCN(C(=O)C=C)C1)n2CC(=O)CN1C=C(N)C=NC1,,,,novel name?
SEL-UNI-cd3-1,SEL-UNI-cd3-1_ACR2,,,,C=CC(=O)N1CCN(C(=O)c2ccc(C)cc2)CC1CC(=N)N,,,,novel name?
SEL-UNI-cd3-2,SEL-UNI-cd3-2_ACR2,,,,C=CC(=O)N1CCN(C(CNS(C)(=O)=O)c2ccccc2)CC1,,,,novel name?
SEL-UNI-cd3-3,SEL-UNI-cd3-3_ACR2,,,,C=CC(=O)NNC(=O)c1cc2c(s1)C1CC(S(N)(=O)=O)CCC1CC2,,,,novel name?
